dose	response	experiment
50000	-0.14428	1
16667	-1.39360	1
5556	-1.29703	1
1852	21.29624	1
617	59.00500	1
206	92.59465	1
69	87.89010	1
23	69.51251	1
50000	0.60410	1
16667	-1.10994	1
5556	1.00243	1
1852	40.12346	1
617	59.70510	1
206	67.66269	1
69	70.31823	1
23	65.18216	1
50000	-1.26987	1
16667	-2.51617	1
5556	-2.94166	1
1852	18.86400	1
617	49.45710	1
206	75.82246	1
69	56.37359	1
23	74.85077	1
50000	-2.50108	1
16667	-3.21627	1
5556	9.03848	1
1852	31.89428	1
617	53.31670	1
206	77.35241	1
69	108.06924	1
23	76.26907	1
50000	-0.77799	1
16667	-2.96882	1
5556	-2.30493	1
1852	27.40098	1
617	66.71212	1
206	62.51153	1
69	30.44882	1
23	60.95139	1
50000	-1.71347	1
16667	-2.86924	1
5556	-3.40034	1
1852	17.16204	1
617	39.61046	1
206	72.22841	1
69	41.69566	1
23	87.17190	1
50000	-2.23553	1
16667	-2.77267	1
5556	-1.69838	1
1852	28.07995	1
617	61.40404	1
206	65.25760	1
69	80.82273	1
23	70.80106	1
50000	-0.84740	1
16667	-2.59463	1
5556	-3.14384	1
1852	32.47669	1
617	50.93576	1
206	81.00077	1
69	65.24252	1
23	83.01355	1
50000	1.65511	2
16667	0.20436	2
5556	0.22296	2
1852	33.76127	2
617	87.36454	2
206	79.42263	2
69	111.46184	2
23	101.83110	2
50000	2.13869	2
16667	0.34943	2
5556	-0.32758	2
1852	58.20451	2
617	84.00923	2
206	75.76972	2
69	92.44588	2
23	49.70462	2
50000	1.74438	2
16667	-1.87505	2
5556	-1.52538	2
1852	32.43700	2
617	82.63287	2
206	89.18356	2
69	106.84920	2
23	104.97439	2
50000	-0.40198	2
16667	-2.28423	2
5556	-2.34003	2
1852	7.48786	2
617	36.96408	2
206	80.79526	2
69	84.45933	2
23	90.60827	2
50000	2.83431	2
16667	-2.03872	2
5556	-2.39583	2
1852	37.64853	2
617	39.67586	2
206	55.40345	2
69	71.52163	2
23	61.34036	2
50000	-0.59913	2
16667	-1.94200	2
5556	-2.26563	2
1852	8.45874	2
617	49.84225	2
206	55.99491	2
69	84.84620	2
23	84.30681	2
50000	-1.52538	2
16667	-2.26563	2
5556	-2.59670	2
1852	31.95342	2
617	59.87845	2
206	71.85642	2
69	84.09478	2
23	73.58244	2
50000	-1.75229	2
16667	-2.13172	2
5556	-2.44790	2
1852	26.06487	2
617	31.16481	2
206	76.67365	2
69	89.16868	2
23	68.75033	2
50000	6.34958	3
16667	4.80955	3
5556	4.92859	3
1852	32.77923	3
617	79.26268	3
206	120.66851	3
69	114.86924	3
23	92.21525	3
50000	7.27211	3
16667	5.15922	3
5556	7.76313	3
1852	55.98747	3
617	80.12568	3
206	89.93497	3
69	93.20845	3
23	86.87724	3
50000	4.96207	3
16667	3.42576	3
5556	2.90126	3
1852	29.78102	3
617	67.49302	3
206	99.99349	3
69	76.01895	3
23	98.79569	3
50000	3.44436	3
16667	2.56276	3
5556	17.66913	3
1852	45.84340	3
617	72.25073	3
206	101.87946	3
69	139.74398	3
23	100.54403	3
50000	5.56841	3
16667	2.86778	3
5556	3.68615	3
1852	40.30452	3
617	88.76321	3
206	83.58516	3
69	44.06158	3
23	81.66199	3
50000	4.41525	3
16667	2.99054	3
5556	2.33584	3
1852	27.68301	3
617	55.35510	3
206	95.56313	3
69	57.92552	3
23	113.98391	3
50000	3.77171	3
16667	3.10958	3
5556	4.43385	3
1852	41.14149	3
617	82.21997	3
206	86.97024	3
69	106.15731	3
23	93.80363	3
50000	5.48285	3
16667	3.32905	3
5556	2.65203	3
1852	46.56133	3
617	69.31575	3
206	106.37678	3
69	86.95164	3
23	108.85793	3
