dose	response	experiment
10000	59.35431	1
3333	71.84616	1
1111	58.98117	1
370	64.60377	1
123	56.91191	1
41	65.48575	1
14	43.59745	1
5	60.90625	1
10000	65.48575	1
3333	65.26526	1
1111	78.64756	1
370	75.24686	1
123	48.62642	1
41	71.92249	1
14	48.70274	1
5	61.34724	1
10000	75.62001	1
3333	73.84757	1
1111	64.82427	1
370	62.01720	1
123	89.45179	1
41	62.67869	1
14	47.59179	1
5	54.32535	1
10000	43.23279	1
3333	73.62708	1
1111	63.71331	1
370	61.94088	1
123	66.45253	1
41	69.70058	1
14	46.26034	1
5	40.86671	1
10000	52.99390	1
3333	52.84125	1
1111	64.82427	1
370	78.80021	1
123	96.17686	1
41	68.88645	1
14	62.23770	1
5	52.25609	1
10000	62.67869	1
3333	47.15080	1
1111	58.46385	1
370	59.93947	1
123	66.37621	1
41	44.78473	1
14	50.47518	1
5	89.22281	1
10000	44.78473	1
3333	63.27233	1
1111	67.70765	1
370	70.96419	1
123	45.96352	1
41	38.28014	1
14	44.56423	1
5	48.55857	1
10000	49.51687	1
3333	57.94654	1
1111	56.98824	1
370	63.93381	1
123	71.84616	1
41	69.03910	1
14	59.12534	1
5	39.61159	1
10000	71.19310	2
3333	65.01395	2
1111	74.46191	2
370	89.86712	2
123	78.18306	2
41	89.20141	2
14	68.21448	2
5	70.07505	2
10000	70.45058	2
3333	77.81607	2
1111	81.98102	2
370	84.73774	2
123	64.57014	2
41	95.15867	2
14	57.34975	2
5	70.89439	2
10000	76.25421	2
3333	76.17739	2
1111	77.81607	2
370	80.12045	2
123	54.59303	2
41	56.68404	2
14	65.53457	2
5	81.23850	2
10000	95.82438	2
3333	72.08072	2
1111	84.21712	2
370	74.24001	2
123	83.09907	2
41	53.10798	2
14	59.21032	2
5	72.37943	2
10000	67.61705	2
3333	54.59303	2
1111	70.37377	2
370	69.63125	2
123	84.88283	2
41	49.68555	2
14	61.51470	2
5	65.53457	2
10000	74.69235	2
3333	66.57581	2
1111	70.51886	2
370	66.79771	2
123	58.39099	2
41	91.80451	2
14	80.04363	2
5	74.83744	2
10000	89.57694	2
3333	65.45776	2
1111	90.24265	2
370	71.93563	2
123	55.34408	2
41	76.77483	2
14	59.28714	2
5	71.63691	2
10000	87.41765	2
3333	94.92823	2
1111	82.13465	2
370	79.82173	2
123	52.80926	2
41	59.65413	2
14	71.49182	2
5	78.25987	2
10000	78.18306	3
3333	67.69386	3
1111	70.97120	3
370	66.35390	3
123	76.47611	3
41	46.10949	3
14	70.15187	3
5	79.45474	3
10000	70.59567	3
3333	65.09076	3
1111	65.75647	3
370	72.15753	3
123	67.99257	3
41	62.70957	3
14	76.99673	3
5	65.38948	3
10000	71.93563	3
3333	61.66833	3
1111	67.69386	3
370	71.41501	3
123	88.82589	3
41	65.61138	3
14	71.11629	3
5	67.77067	3
10000	57.87037	3
3333	59.73094	3
1111	94.04061	3
370	76.62120	3
123	65.01395	3
41	57.20466	3
14	72.45625	3
5	67.25005	3
10000	53.48351	3
3333	60.55028	3
1111	69.03381	3
370	80.93978	3
123	70.51886	3
41	67.54877	3
14	62.41085	3
5	61.51470	3
10000	57.49484	3
3333	69.77634	3
1111	62.93147	3
370	57.79356	3
123	65.16757	3
41	55.78789	3
14	77.14182	3
5	67.69386	3
10000	65.09076	3
3333	70.15187	3
1111	78.48178	3
370	79.23283	3
123	67.54877	3
41	60.55028	3
14	68.29129	3
5	65.97838	3
10000	68.43638	3
3333	59.35541	3
1111	61.73661	3
370	64.71523	3
123	72.45625	3
41	67.31833	3
14	39.70843	3
5	53.77369	3
