dose	response	experiment
100000	73.82668	1
10000	66.86551	1
3333	84.04997	1
1111	69.90280	1
370	95.33377	1
123	71.08209	1
41	82.34892	1
14	84.75415	1
100000	87.96112	1
10000	173.96826	1
3333	89.92094	1
1111	68.80412	1
370	79.76552	1
123	99.44854	1
41	94.00177	1
14	77.55118	1
100000	82.43800	1
10000	67.93875	1
3333	65.21960	1
1111	67.54424	1
370	65.69895	1
123	69.83493	1
41	82.62041	1
14	70.52214	1
100000	59.38681	1
10000	97.56508	1
3333	76.27857	1
1111	60.46853	1
370	66.45403	1
123	82.17499	1
41	68.54111	1
14	67.78179	1
100000	67.06065	1
10000	69.63980	1
3333	63.72217	1
1111	69.46588	1
370	71.11178	1
123	67.77331	1
41	70.64516	1
14	69.81372	1
100000	61.77508	1
10000	70.02158	1
3333	86.42127	1
1111	61.42299	1
370	67.81997	1
123	79.91399	1
41	78.20021	1
14	70.16581	1
100000	60.42187	1
10000	120.51021	1
3333	75.40472	1
1111	101.18353	1
370	62.85255	1
123	75.41320	1
41	70.44154	1
14	52.84136	1
100000	75.05263	1
10000	85.33531	1
3333	47.96727	1
1111	73.91576	1
370	56.34104	1
123	93.22124	1
41	84.65658	1
14	78.29354	1
100000	86.75640	2
10000	85.58746	2
3333	68.80604	2
1111	78.67094	2
370	76.70767	2
123	72.09434	2
41	65.53855	2
14	80.71051	2
100000	86.63500	2
10000	88.71273	2
3333	61.73689	2
1111	76.46833	2
370	61.58080	2
123	72.40305	2
41	110.00343	2
14	59.69038	2
100000	83.09696	2
10000	73.51649	2
3333	69.15638	2
1111	64.31065	2
370	43.04077	2
123	86.19101	2
41	63.29086	2
14	64.20312	2
100000	85.79558	2
10000	63.69669	2
3333	83.53054	2
1111	50.15154	2
370	51.53901	2
123	55.71875	2
41	57.42881	2
14	67.11680	2
100000	76.02781	2
10000	85.54237	2
3333	86.45810	2
1111	52.82935	2
370	51.10542	2
123	57.64386	2
41	73.56852	2
14	48.58370	2
100000	106.89203	2
10000	103.97835	2
3333	87.71376	2
1111	75.37917	2
370	81.44587	2
123	81.92802	2
41	73.91539	2
14	80.21103	2
100000	93.91227	2
10000	76.90191	2
3333	49.30171	2
1111	80.08615	2
370	65.24719	2
123	77.86967	2
41	79.96475	2
14	69.17025	2
100000	74.42528	2
10000	59.57591	2
3333	74.53975	2
1111	61.52877	2
370	60.75526	2
123	72.33368	2
41	62.80524	2
14	58.46941	2
100000	50.78977	3
10000	45.09769	3
3333	59.14927	3
1111	47.58125	3
370	68.37593	3
123	48.54554	3
41	57.75833	3
14	59.72506	3
100000	62.34738	3
10000	132.67465	3
3333	63.94990	3
1111	46.68287	3
370	55.64591	3
123	71.74053	3
41	67.28676	3
14	53.83526	3
100000	57.83117	3
10000	45.97526	3
3333	43.75184	3
1111	45.65267	3
370	44.14380	3
123	47.52575	3
41	57.98032	3
14	48.08768	3
100000	38.98242	3
10000	70.20045	3
3333	52.79466	3
1111	39.86693	3
370	44.76123	3
123	57.61611	3
41	46.46781	3
14	45.84692	3
100000	45.25725	3
10000	47.36620	3
3333	42.52740	3
1111	47.22398	3
370	48.56982	3
123	45.83998	3
41	48.18827	3
14	47.50841	3
100000	40.93528	3
10000	47.67838	3
3333	61.08825	3
1111	40.64738	3
370	45.87814	3
123	55.76731	3
41	54.36597	3
14	47.79631	3
100000	39.82878	3
10000	88.96248	3
3333	52.08012	3
1111	73.15922	3
370	41.81633	3
123	52.08705	3
41	48.02177	3
14	33.63027	3
100000	51.79222	3
10000	60.20027	3
3333	29.64476	3
1111	50.86261	3
370	36.49192	3
123	66.64853	3
41	59.64529	3
14	54.44228	3
