dose	response	experiment
50000	22.91430	1
16667	44.55722	1
5556	67.99692	1
1852	83.55319	1
617	108.04243	1
206	89.82665	1
69	80.69668	1
23	100.76359	1
50000	26.02215	1
16667	45.27049	1
5556	63.29267	1
1852	70.86022	1
617	85.13259	1
206	110.68836	1
69	88.64804	1
23	86.29082	1
50000	21.43679	1
16667	32.61149	1
5556	55.96288	1
1852	78.21039	1
617	109.38747	1
206	84.12042	1
69	87.75474	1
23	93.98744	1
50000	23.58682	1
16667	35.08759	1
5556	64.11464	1
1852	80.41137	1
617	91.09017	1
206	92.93451	1
69	87.83286	1
23	89.81985	1
50000	21.76286	1
16667	41.94526	1
5556	53.97250	1
1852	71.24743	1
617	80.87330	1
206	72.18488	1
69	94.65317	1
23	63.30626	1
50000	21.16506	1
16667	52.62406	1
5556	59.29831	1
1852	78.46853	1
617	121.55737	1
206	100.03673	1
69	85.34318	1
23	76.56645	1
50000	24.77901	1
16667	44.60816	1
5556	54.14572	1
1852	64.20635	1
617	76.82799	1
206	86.95315	1
69	97.78480	1
23	81.66130	1
50000	21.13789	1
16667	28.67827	1
5556	87.76833	1
1852	93.73949	1
617	98.49129	1
206	108.03904	1
69	97.40439	1
23	98.27391	1
50000	26.70635	2
16667	53.78110	2
5556	81.56186	2
1852	90.40352	2
617	80.90692	2
206	88.70909	2
69	92.26318	2
23	70.10947	2
50000	26.79047	2
16667	43.53043	2
5556	66.21590	2
1852	87.45630	2
617	111.31044	2
206	91.88764	2
69	112.89070	2
23	84.30178	2
50000	27.35828	2
16667	52.09569	2
5556	59.38412	2
1852	65.12233	2
617	89.20480	2
206	90.60781	2
69	71.19402	2
23	92.23914	2
50000	28.72824	2
16667	51.68109	2
5556	56.85750	2
1852	72.43780	2
617	78.77387	2
206	80.27602	2
69	76.63180	2
23	97.31941	2
50000	29.15185	2
16667	42.50296	2
5556	88.90737	2
1852	66.37212	2
617	81.73311	2
206	94.78979	2
69	88.85630	2
23	72.09531	2
50000	24.92179	2
16667	38.01153	2
5556	53.74505	2
1852	114.22160	2
617	78.98117	2
206	94.89494	2
69	80.51336	2
23	83.14212	2
50000	22.60247	2
16667	48.14203	2
5556	52.66050	2
1852	80.30306	2
617	103.03660	2
206	98.96577	2
69	88.26445	2
23	77.33181	2
50000	25.41750	2
16667	38.99394	2
5556	58.02317	2
1852	72.88845	2
617	76.32236	2
206	95.60696	2
69	47.84160	2
23	90.55974	2
50000	16.47671	3
16667	35.62011	3
5556	56.35278	3
1852	70.11247	3
617	91.77348	3
206	75.66142	3
69	67.58586	3
23	85.33526	3
50000	19.22564	3
16667	36.25101	3
5556	52.19182	3
1852	58.88540	3
617	71.50947	3
206	94.11383	3
69	74.61892	3
23	72.53394	3
50000	15.16984	3
16667	25.05398	3
5556	45.70855	3
1852	65.38671	3
617	92.96318	3
206	70.61419	3
69	73.82879	3
23	79.34168	3
50000	17.07156	3
16667	27.24412	3
5556	52.91887	3
1852	67.33350	3
617	76.77901	3
206	78.41035	3
69	73.89789	3
23	75.65541	3
50000	15.45825	3
16667	33.30980	3
5556	43.94803	3
1852	59.22789	3
617	67.74208	3
206	60.05708	3
69	79.93053	3
23	52.20384	3
50000	14.92949	3
16667	42.75532	3
5556	48.65877	3
1852	65.61504	3
617	103.72759	3
206	84.69234	3
69	71.69574	3
23	63.93263	3
50000	18.12607	3
16667	35.66517	3
5556	44.10124	3
1852	52.99998	3
617	64.16396	3
206	73.11978	3
69	82.70049	3
23	68.43908	3
50000	14.90546	3
16667	21.57500	3
5556	73.84081	3
1852	79.12237	3
617	83.32538	3
206	91.77047	3
69	82.36401	3
23	83.13311	3
