dose	response	experiment
10000	59.32526	1
3333	63.74084	1
1111	82.94718	1
370	87.07400	1
123	73.25778	1
41	108.49816	1
14	126.25671	1
5	128.41838	1
10000	62.12059	1
3333	69.45181	1
1111	93.14592	1
370	70.58277	1
123	96.59095	1
41	89.76104	1
14	147.59665	1
5	110.79618	1
10000	67.52275	1
3333	47.41404	1
1111	69.88494	1
370	53.07287	1
123	69.86088	1
41	93.09779	1
14	72.43563	1
5	85.87085	1
10000	64.39455	1
3333	47.17742	1
1111	70.96377	1
370	36.85837	1
123	90.95618	1
41	84.80405	1
14	65.96667	1
5	87.39083	1
10000	65.34504	1
3333	52.74802	1
1111	61.33052	1
370	39.03608	1
123	85.36552	1
41	101.67628	1
14	89.76906	1
5	72.62813	1
10000	65.46135	1
3333	42.24850	1
1111	51.73737	1
370	41.87552	1
123	60.38003	1
41	72.26318	1
14	79.36178	1
5	73.39414	1
10000	54.87760	1
3333	51.34434	1
1111	40.66836	1
370	57.17964	1
123	79.48210	1
41	87.44297	1
14	79.42996	1
5	70.37422	1
10000	98.80074	1
3333	48.47682	1
1111	64.28226	1
370	40.49189	1
123	66.25142	1
41	64.66726	1
14	82.37769	1
5	82.77072	1
10000	88.26266	2
3333	66.16422	2
1111	55.75719	2
370	73.04780	2
123	45.58883	2
41	54.39743	2
14	39.48719	2
5	48.94269	2
10000	82.14217	2
3333	69.09099	2
1111	67.52083	2
370	49.51109	2
123	53.58723	2
41	67.00896	2
14	58.86611	2
5	48.52503	2
10000	102.38154	2
3333	70.07392	2
1111	47.80276	2
370	70.57951	2
123	43.99041	2
41	41.87383	2
14	90.17197	2
5	47.51699	2
10000	76.51785	2
3333	64.33969	2
1111	57.49065	2
370	52.97801	2
123	66.62270	2
41	59.26179	2
14	42.01514	2
5	79.76495	2
10000	107.67926	2
3333	41.46873	2
1111	69.34536	2
370	68.62309	2
123	58.47043	2
41	52.29970	2
14	44.33270	2
5	80.88918	2
10000	82.91155	2
3333	68.74242	2
1111	62.50574	2
370	77.24641	2
123	73.11061	2
41	59.83019	2
14	54.84336	2
5	41.04478	2
10000	75.75790	2
3333	73.43092	2
1111	82.42794	2
370	78.41461	2
123	80.57515	2
41	53.46790	2
14	65.66490	2
5	65.28178	2
10000	65.57698	2
3333	47.93465	2
1111	41.01338	2
370	67.76578	2
123	55.25160	2
41	49.84082	2
14	64.31143	2
5	53.88870	2
10000	60.79427	3
3333	73.67900	3
1111	74.81894	3
370	89.90190	3
123	85.36100	3
41	66.55990	3
14	86.43185	3
5	96.33014	3
10000	55.72579	3
3333	63.60485	3
1111	48.75113	3
370	76.13474	3
123	58.08103	3
41	75.08273	3
14	84.03578	3
5	90.56765	3
10000	78.61559	3
3333	52.27143	3
1111	50.93994	3
370	24.27547	3
123	65.35087	3
41	76.89469	3
14	79.19341	3
5	72.83740	3
10000	59.51301	3
3333	54.11480	3
1111	46.04418	3
370	53.88870	3
123	49.57704	3
41	77.04857	3
14	65.71829	3
5	48.08539	3
10000	82.10763	3
3333	64.67884	3
1111	61.87768	3
370	45.75527	3
123	75.51295	3
41	83.24128	3
14	69.87293	3
5	60.17562	3
10000	44.52740	3
3333	48.00060	3
1111	42.23811	3
370	51.32306	3
123	61.26217	3
41	52.10186	3
14	82.00086	3
5	53.25749	3
10000	64.64430	3
3333	50.23651	3
1111	50.18626	3
370	46.36135	3
123	77.34376	3
41	92.03104	3
14	62.55913	3
5	69.75988	3
10000	56.36641	3
3333	47.30031	3
1111	59.83961	3
370	51.46437	3
123	56.32559	3
41	82.72313	3
14	58.87867	3
5	64.85470	3
