dose	response	experiment 	background 	control
0.00001	109.74	1	0	1
0.0001	112.57	1	0	1
0.001	88.28	1	0	1
0.01	119.27	1	0	1
0.05	132.84	1	0	1
0.1	112.98	1	0	1
1	109.85	1	0	1
5	108.6	1	0	1
10	101.22	1	0	1
50	25.3	1	0	1
100	18.73	1	0	1
0.00001	112.2	1	0	1
0.0001	90.74	1	0	1
0.001	122.05	1	0	1
0.01	102.53	1	0	1
0.05	109.25	1	0	1
0.1	97	1	0	1
1	97.29	1	0	1
5	95.02	1	0	1
10	86.58	1	0	1
50	24.12	1	0	1
100	16.79	1	0	1
0.00001	81.62	1	0	1
0.0001	86.05	1	0	1
0.001	69.82	1	0	1
0.01	111.36	1	0	1
0.05	91.08	1	0	1
0.1	114	1	0	1
1	106.56	1	0	1
5	91.73	1	0	1
10	132.25	1	0	1
50	21.45	1	0	1
100	22.5	1	0	1
0.00001	96.4	1	0	1
0.0001	77.93	1	0	1
0.001	80.51	1	0	1
0.01	100.35	1	0	1
0.05	93.62	1	0	1
0.1	98.77	1	0	1
1	103.15	1	0	1
5	133.03	1	0	1
10	119.24	1	0	1
50	26.18	1	0	1
100	15.94	1	0	1
0.00001	94.33	1	0	1
0.0001	92.23	1	0	1
0.001	103.64	1	0	1
0.01	85.44	1	0	1
0.05	104.86	1	0	1
0.1	111.27	1	0	1
1	115.57	1	0	1
5	72.89	1	0	1
10	104.38	1	0	1
50	23.31	1	0	1
100	21.36	1	0	1

