dose	response	experiment	background	control
0.02	88.98950276	1	0	1
0.03	118.1630751	1	0	1
0.046	111.5229689	1	0	1
0.069	97.57874579	1	0	1
0.232875	75.66639519	1	0	1
0.349313	47.11393835	1	0	1
0.00256	153.4069982	2	0	1
0.0128	124.4935543	2	0	1
0.064	106.8139963	2	0	1
0.32	67.40331492	2	0	1
1.6	11.23388582	2	0	1
8	1.657458564	2	0	1
40	2.209944751	2	0	1
200	0	2	0	1
0.00256	156.2791876	3	0	1
0.0128	145.2763222	3	0	1
0.064	130.7586527	3	0	1
0.32	80.09962693	3	0	1
1.6	20.2715467	3	0	1
8	16.1454722	3	0	1
40	16.22188099	3	0	1
200	13.16552951	3	0	1
