dose	response	experiment
0.003906	121.3916	1
0.003906	206.7464	1
0.003906	96.29604	1
0.007813	167.8308	1
0.007813	118.9569	1
0.007813	116.2128	1
0.007813	123.2376	1
0.007813	234.0471	1
0.007813	200.899	1
0.015625	115.7139	1
0.015625	184.1554	1
0.015625	170.6247	1
0.015625	165.5857	1
0.03125	74.51331	1
0.03125	185.732	1
0.03125	188.3962	1
0.03125	104.2488	1
0.03125	189.7433	1
0.0625	127.0094	1
0.0625	81.13893	1
0.0625	41.55483	1
0.0625	33.28278	1
0.0625	151.3366	1
0.125	183.0677	1
0.125	165.6256	1
0.125	140.6498	1
0.125	132.4177	1
0.125	129.1248	1
0.25	109.1681	1
0.25	92.66392	1
0.25	68.97532	1
0.25	122.3096	1
0.25	169.6469	1
0.5	17.89617	1
0.5	79.56235	1
0.5	39.23985	1
0.5	93.23269	1
0.5	38.83074	1
0.5	30.3691	1
0.003906	104.9174	2
0.003906	103.309	2
0.003906	154.0593	2
0.003906	98.24449	2
0.003906	125.8863	2
0.007813	53.05251	2
0.007813	168.6695	2
0.007813	183.7659	2
0.007813	126.6868	2
0.007813	71.83699	2
0.007813	112.6826	2
0.007813	146.7729	2
0.007813	127.4199	2
0.007813	142.0749	2
0.03125	130.128	2
0.03125	110.0568	2
0.03125	85.45219	2
0.03125	119.4378	2
0.03125	135.8209	2
0.0625	78.98871	2
0.0625	119.0413	2
0.0625	151.8674	2
0.0625	136.1276	2
0.0625	146.2418	2
0.0625	102.9724	2
0.125	122.2506	2
0.125	80.11084	2
0.125	76.24323	2
0.125	72.01653	2
0.125	73.6324	2
0.125	121.9963	2
0.25	58.25172	2
0.25	88.16775	2
0.25	69.15884	2
0.25	114.4107	2
0.25	99.3741	2
0.25	55.3267	2
0.5	33.43017	2
0.5	63.45093	2
0.5	49.3794	2
0.5	38.36007	2
0.5	15.55835	2
0.003906	109.6797	3
0.003906	119.681	3
0.003906	74.24202	3
0.003906	105.9717	3
0.003906	90.42566	3
0.007813	41.61829	3
0.007813	116.7076	3
0.007813	81.26302	3
0.007813	124.1583	3
0.007813	145.1174	3
0.015625	71.11619	3
0.015625	118.378	3
0.015625	58.48809	3
0.015625	137.7567	3
0.015625	46.9135	3
0.03125	73.72913	3
0.03125	127.3327	3
0.03125	103.4973	3
0.03125	148.4996	3
0.03125	121.081	3
0.03125	125.1841	3
0.0625	97.82093	3
0.0625	102.5339	3
0.0625	118.4334	3
0.0625	126.2515	3
0.125	100.7388	3
0.125	97.68231	3
0.125	85.08194	3
0.125	108.6886	3
0.125	73.82617	3
0.25	63.70013	3
0.25	88.40184	3
0.25	74.40836	3
0.25	86.54436	3
0.25	29.11496	3
0.25	66.94379	3
0.5	23.24449	3
0.5	37.48055	3
0.5	94.25845	3
0.5	41.88167	3
0.5	87.68796	3
0.5	96.20603	3
0.003906	107.5693	4
0.003906	100.4779	4
0.003906	91.95288	4
0.007813	70.31073	4
0.007813	105.8681	4
0.007813	88.05835	4
0.007813	107.7126	4
0.007813	71.21388	4
0.007813	103.7082	4
0.015625	70.31073	4
0.015625	105.8681	4
0.015625	88.05835	4
0.015625	107.7126	4
0.015625	71.21388	4
0.015625	103.7082	4
0.03125	79.17498	4
0.03125	86.50053	4
0.03125	103.4979	4
0.03125	86.67256	4
0.03125	72.28906	4
0.0625	97.6585	4
0.0625	91.78085	4
0.0625	70.60222	4
0.0625	32.88494	4
0.125	22.34819	4
0.125	21.18222	4
0.125	67.09475	4
0.125	134.7928	4
0.25	76.59455	4
0.25	60.63412	4
0.25	26.25706	4
0.25	84.24505	4
0.25	51.40669	4
0.25	57.8052	4
0.5	23.24449	4
0.5	37.48055	4
0.5	94.25845	4
0.5	41.88167	4
0.5	87.68796	4
0.5	96.20603	4
0.5	8.342194	4
0.5	7.725758	4
0.5	6.497664	4
0.5	7.534615	4
0.5	79.09374	4
0.5	64.95395	4
5	0	4
