dose 	response	experiment 	background	control
10	14.26	1	0	1
6.67	37.46	1	0	1
4.44	87.38	1	0	1
2.96	97	1	0	1
1.98	104.26	1	0	1
0.001	103.55	1	0	1
100	0.43	2	0	1
50	0.38	2	0	1
25	2.68	2	0	1
12.5	15.87	2	0	1
6.25	35.61	2	0	1
0.001	96.76	2	0	1
10	8.58	3	0	1
1	107.17	3	0	1
0.5	98.54	3	0	1
0.25	103.37	3	0	1
0.125	94.84	3	0	1
0.0625	101.02	3	0	1
6	94.47	4	0	1
4.29	91.36	4	0	1
3.06	102.26	4	0	1
2.19	97.47	4	0	1
1.56	104.65	4	0	1
0.001	100	4	0	1
6	68.97	5	0	1
4.29	83.47	5	0	1
3.06	102.36	5	0	1
2.19	96.58	5	0	1
1.56	118.19	5	0	1
0.001	100	5	0	1
