dose 	response	experiment 	background	control
10	2.78	1	0	1
5	1.49	1	0	1
1	1.68	1	0	1
0.5	2.23	1	0	1
0.1	95.23	1	0	1
0.4	2.53	2	0	1
0.2	83.6	2	0	1
0.1	93.47	2	0	1
0.05	89.94	2	0	1
0.025	102.57	2	0	1
0.01	100	2	0	1
0.2	74.07	3	0	1
0.133333	81.62	3	0	1
0.088889	82.44	3	0	1
0.059259	94.86	3	0	1
0.01	100	3	0	1
0.3	71.96	4	0	1
0.2	82.33	4	0	1
0.133	87.27	4	0	1
0.089	86.12	4	0	1
0.059	90.2	4	0	1
0.01	100	4	0	1
0.4	27.67	5	0	1
0.3	73.64	5	0	1
0.2	84.84	5	0	1
0.1	89.6	5	0	1
0.05	104.38	5	0	1
0.025	100.22	5	0	1
