dose	response	experiment
0.001638	181.7319	1
0.001638	190	1
0.004096	153.2835	1
0.004096	85.97401	1
0.004096	203.3655	1
0.01024	150.3411	1
0.01024	136.803	1
0.01024	39.00217	1
0.01024	174.0024	1
0.01024	85.94351	1
0.0256	112.8521	1
0.0256	161.6077	1
0.0256	67.42006	1
0.0256	92.89553	1
0.064	131.9396	1
0.064	114.9102	1
0.064	197.9533	1
0.064	149.7618	1
0.064	173.9719	1
0.064	69.99657	1
0.16	143.9837	1
0.16	31.13542	1
0.16	88.47429	1
0.16	27.6899	1
0.4	21.7441	1
0.4	74.32633	1
0.4	26.1196	1
0.4	82.61996	1
1	17.30762	1
1	18.86267	1
1	18.48153	1
1	20.93608	1
0.001638	93.97291	2
0.001638	83.27763	2
0.001638	94.69213	2
0.001638	186.4143	2
0.001638	64.56089	2
0.001638	58.41788	2
0.001638	127.0741	2
0.01024	86.31529	2
0.01024	87.26297	2
0.01024	85.6553	2
0.0256	78.48845	2
0.0256	71.80389	2
0.0256	159.0246	2
0.0256	195.375	2
0.064	44.24494	2
0.064	77.40538	2
0.064	112.935	2
0.064	168.6537	2
0.16	112.165	2
0.16	89.46295	2
0.16	118.858	2
0.16	104.042	2
0.4	49.1272	2
0.4	89.2768	2
0.4	82.00841	2
0.4	27.67742	2
1	12.96295	2
1	14.18986	2
1	83.52301	2
1	36.29118	2
1	82.35533	2
1	31.38353	2
0.001638	97.78139	3
0.001638	123.159	3
0.001638	115.2607	3
0.001638	83.99361	3
0.001638	127.2875	3
0.004096	89.44611	3
0.004096	109.6647	3
0.004096	70.82543	3
0.004096	91.97669	3
0.004096	85.48065	3
0.01024	107.5385	3
0.01024	87.42425	3
0.01024	77.01493	3
0.01024	105.8623	3
0.01024	88.35039	3
0.0256	108.0733	3
0.0256	131.0638	3
0.0256	94.07682	3
0.0256	108.9408	3
0.0256	93.73115	3
0.0256	79.23898	3
0.064	138.9556	3
0.064	99.1706	3
0.064	44.46299	3
0.064	84.11101	3
0.064	89.90266	3
0.064	62.7119	3
0.16	67.38175	3
0.16	95.02253	3
0.16	95.40081	3
0.16	56.35935	3
0.16	56.93982	3
0.16	99.64672	3
0.4	76.36272	3
0.4	68.84922	3
0.4	90.4766	3
0.4	91.35709	3
0.4	20.10283	3
0.4	78.88026	3
1	68.64704	3
1	61.98794	3
1	16.8222	3
1	79.3629	3
1	11.44144	3
5	0	3
