dose	response	experiment	background	control
100	-0.283657659	1	0	1
30	-0.71371927	1	0	1
10	0.872323553	1	0	1
3	2.479716952	1	0	1
1	32.73653389	1	0	1
0.3	79.26249009	1	0	1
0.1	88.33953517	1	0	1
0.03	78.38101629	1	0	1
100	-1.110229976	1	0	1
30	-1.482340023	1	0	1
10	-0.689318612	1	0	1
3	3.059232599	1	0	1
1	37.96132496	1	0	1
0.3	52.08625633	1	0	1
0.1	83.48075398	1	0	1
0.03	73.83029342	1	0	1
100	-0.719819435	1	0	1
30	-1.662294882	1	0	1
10	-1.125480388	1	0	1
3	1.5036906	1	0	1
1	42.48459708	1	0	1
0.3	76.42286342	1	0	1
0.1	85.77136583	1	0	1
0.03	59.30580126	1	0	1
100	-1.570792411	1	0	1
30	-1.863600317	1	0	1
10	-1.33593607	1	0	1
3	1.549441835	1	0	1
1	39.65412066	1	0	1
0.3	81.16879156	1	0	1
0.1	79.82370524	1	0	1
0.03	78.74397609	1	0	1
100	-0.884523882	1	0	1
30	-1.256633929	1	0	1
10	-1.162081376	1	0	1
3	1.820899164	1	0	1
1	41.38961752	1	0	1
0.3	60.83999268	1	0	1
0.1	41.73732691	1	0	1
0.03	67.29396694	1	0	1
100	-1.824411386	2	0	1
30	-1.508141033	2	0	1
10	11.90406466	2	0	1
3	3.440904299	2	0	1
1	56.88766546	2	0	1
0.3	79.83190816	2	0	1
0.1	89.36687361	2	0	1
0.03	64.75342626	2	0	1
100	-2.210964039	2	0	1
30	-2.275389481	2	0	1
10	6.111631721	2	0	1
3	12.27304674	2	0	1
1	42.26601851	2	0	1
0.3	62.43411034	2	0	1
0.1	87.16176643	2	0	1
0.03	65.68173832	2	0	1
100	-2.237319902	2	0	1
30	-3.030924212	2	0	1
10	5.6079419	2	0	1
3	2.626800984	2	0	1
1	44.31006208	2	0	1
0.3	79.95783062	2	0	1
0.1	58.55101324	2	0	1
0.03	63.00515404	2	0	1
100	-2.588731404	2	0	1
30	-2.866932178	2	0	1
10	5.095466792	2	0	1
3	4.401429073	2	0	1
1	42.13131076	2	0	1
0.3	84.83073679	2	0	1
0.1	80.31509898	2	0	1
0.03	66.71254539	2	0	1
100	-1.868337824	2	0	1
30	-1.704345789	2	0	1
10	0.342626215	2	0	1
3	5.28288626	2	0	1
1	49.96778728	2	0	1
0.3	70.67178166	2	0	1
0.1	66.75940026	2	0	1
0.03	70.01581352	2	0	1
100	-1.934099617	3	0	1
30	-2.013793103	3	0	1
10	-1.590804598	3	0	1
3	2.63908046	3	0	1
1	39.65670498	3	0	1
0.3	58.36321839	3	0	1
0.1	63.90498084	3	0	1
0.03	60.0183908	3	0	1
100	-2.133333333	3	0	1
30	-2.596168582	3	0	1
10	-1.314942529	3	0	1
3	2.059770115	3	0	1
1	31.38084291	3	0	1
0.3	60.25747126	3	0	1
0.1	70.70038314	3	0	1
0.03	42.01072797	3	0	1
100	-2.047509579	3	0	1
30	-2.605363985	3	0	1
10	-2.442911877	3	0	1
3	6.249808429	3	0	1
1	34.12413793	3	0	1
0.3	63.25823755	3	0	1
0.1	63.58927203	3	0	1
0.03	53.02681992	3	0	1
100	-2.525670498	3	0	1
30	-2.819923372	3	0	1
10	-2.608429119	3	0	1
3	5.183141762	3	0	1
1	44.18697318	3	0	1
0.3	69.42835249	3	0	1
0.1	50.99157088	3	0	1
0.03	63.39003831	3	0	1
100	-1.77164751	3	0	1
30	-2.081226054	3	0	1
10	-2.620689655	3	0	1
3	2.498084291	3	0	1
1	39.43295019	3	0	1
0.3	62.01072797	3	0	1
0.1	54.79233716	3	0	1
0.03	48.96858238	3	0	1
