dose	response	experiment
0.0000195	69.4965	1
0.0000195	153.9388	1
0.0000195	104.9282	1
0.0000195	137.4541	1
0.0000391	65.69442	1
0.0000391	99.78636	1
0.0000391	87.45677	1
0.0000391	105.0459	1
0.0000781	43.95923	1
0.0000781	116.9319	1
0.0000781	99.82257	1
0.0000781	57.75533	1
0.0000781	129.4516	1
0.0000781	93.05126	1
0.00015625	85.70963	1
0.00015625	86.24373	1
0.00015625	139.5271	1
0.00015625	63.22307	1
0.0003125	103.8238	1
0.0003125	25.87221	1
0.0003125	113.7001	1
0.000625	22.78529	1
0.000625	74.35772	1
0.000625	68.90808	1
0.000625	83.4827	1
0.000625	99.34278	1
0.000625	15.90535	1
0.00125	79.59915	1
0.00125	59.19468	1
0.00125	38.93506	1
0.00125	87.50204	1
0.00125	11.54201	1
0.00125	17.86975	1
0.0025	9.296978	1
0.0025	101.7146	1
0.0025	81.60882	1
0.0025	31.72922	1
0.0025	21.80762	1
0.0025	13.23484	1
0.005	7.462718754	1
0.005	7.333326145	1
0.005	9.02836933	1
0.005	8.743705589	1
0.005	9.701210899	1
0.005	8.666070023	1
0.01	10.69753399	1
0.01	7.022783882	1
0.01	9.274215288	1
0.01	9.1707012	1
0.01	9.390668636	1
0.01	7.954410671	1
0.0000195	69.37962	2
0.0000195	105.9832	2
0.0000195	113.2471	2
0.0000195	100.6165	2
0.0000195	110.7736	2
0.0000391	96.07296	2
0.0000391	99.48474	2
0.0000391	86.32327	2
0.0000391	89.37288	2
0.0000391	67.49883	2
0.0000391	115.5188	2
0.0000781	91.11786	2
0.0000781	76.21964	2
0.0000781	102.2174	2
0.0000781	100.3161	2
0.0000781	82.48759	2
0.0000781	47.592	2
0.00015625	76.2114	2
0.00015625	93.7765	2
0.00015625	95.06054	2
0.00015625	74.65985	2
0.00015625	120.4945	2
0.00015625	79.82072	2
0.0003125	66.48229	2
0.0003125	111.0041	2
0.0003125	29.7059	2
0.0003125	96.64502	2
0.0003125	75.88216	2
0.000625	100.7029	2
0.000625	92.16732	2
0.000625	99.25015	2
0.000625	86.75128	2
0.000625	70.95176	2
0.000625	45.70709	2
0.00125	76.79581	2
0.00125	53.83115	2
0.00125	58.76979	2
0.00125	114.1895	2
0.00125	77.73415	2
0.0025	58.38293	2
0.0025	62.02106	2
0.0025	36.99863	2
0.0025	31.09695	2
0.0025	97.19238	2
0.005	8.462276663	2
0.005	9.303328625	2
0.005	10.51961915	2
0.005	8.798697448	2
0.005	10.98543255	2
0.01	9.044543406	2
0.01	10.85603994	2
0.01	11.03718959	2
0.01	9.536235322	2
0.01	8.682244099	2
0.01	9.199814537	2
0.0000195	129.2342	3
0.0000195	101.1311	3
0.0000195	110.8525	3
0.0000195	91.81605	3
0.0000195	114.9117	3
0.0000391	101.0001	3
0.0000391	107.4118	3
0.0000391	89.80223	3
0.0000391	108.9064	3
0.0000781	108.7845	3
0.0000781	64.4173	3
0.0000781	77.14137	3
0.0000781	115.1826	3
0.0000781	112.8934	3
0.0000781	89.71192	3
0.0000781	121.6079	3
0.00015625	108.1794	3
0.00015625	118.5149	3
0.00015625	89.07076	3
0.00015625	97.60915	3
0.00015625	94.01951	3
0.0003125	103.4971	3
0.0003125	83.5305	3
0.0003125	118.5014	3
0.0003125	108.2472	3
0.0003125	113.074	3
0.000625	116.7043	3
0.000625	89.49519	3
0.000625	67.23484	3
0.000625	77.13686	3
0.00125	96.99959	3
0.00125	91.6535	3
0.00125	100.2958	3
0.00125	79.71057	3
0.00125	127.6087	3
0.00125	40.71206	3
0.0025	86.29837	3
0.0025	123.1837	3
0.0025	73.60139	3
0.0025	115.4265	3
0.0025	113.4578	3
0.005	16.58666667	3
0.005	19.30666667	3
0.005	19.09333333	3
0.005	21.92	3
0.01	9.973333333	3
0.01	12.64	3
0.01	15.36	3
0.0000195	116.8276	4
0.0000195	97.64266	4
0.0000195	127.7219	4
0.0000195	128.5344	4
0.0000195	69.65806	4
0.0000195	89.08632	4
0.0000195	110.9137	4
0.0000391	149.2855	4
0.0000391	99.29688	4
0.0000391	120.0969	4
0.0000391	142.8839	4
0.0000391	56.07198	4
0.0000391	182.4285	4
0.0000391	80.13323	4
0.0000391	88.74413	4
0.0000781	147.4746	4
0.0000781	176.6534	4
0.0000781	134.8674	4
0.0000781	89.55757	4
0.0000781	62.89439	4
0.0000781	144.822	4
0.0000781	94.29212	4
0.0000781	92.28385	4
0.00015625	166.4932	4
0.00015625	91.7795	4
0.00015625	90.7028	4
0.00015625	134.652	4
0.00015625	83.30833	4
0.0003125	113.381	4
0.0003125	35.93755	4
0.0003125	101.6363	4
0.0003125	106.8534	4
0.0003125	139.2427	4
0.0003125	106.0332	4
0.0003125	78.27081	4
0.000625	103.5939	4
0.000625	82.2849	4
0.000625	134.5248	4
0.000625	152.3002	4
0.000625	110.8666	4
0.000625	129.5132	4
0.000625	101.5623	4
0.00125	86.41554	4
0.00125	127.5555	4
0.00125	140.476	4
0.00125	68.4639	4
0.00125	79.49372	4
0.00125	109.1522	4
0.0025	43.38641	4
0.0025	100.7651	4
0.0025	122.2895	4
0.0025	62.83851	4
	
