dose	response	experiment
10000	6.61820	1
3333	72.45266	1
1111	90.68168	1
370	141.68223	1
123	105.56648	1
41	90.51516	1
14	121.56601	1
5	79.47414	1
10000	5.20742	1
3333	47.48894	1
1111	87.69825	1
370	79.09485	1
123	117.81475	1
41	86.76390	1
14	65.32017	1
5	88.35506	1
10000	5.19355	1
3333	48.28915	1
1111	65.11665	1
370	151.59926	1
123	59.61695	1
41	83.49368	1
14	94.97875	1
5	93.79000	1
10000	4.06030	1
3333	75.40834	1
1111	82.88775	1
370	95.66795	1
123	84.87208	1
41	56.20335	1
14	108.34639	1
5	74.83941	1
10000	3.71802	1
3333	15.53150	1
1111	67.84106	1
370	38.35824	1
123	94.96488	1
41	84.46041	1
14	52.53534	1
5	127.37099	1
10000	3.31560	1
3333	41.30930	1
1111	69.30733	1
370	86.45862	1
123	69.06681	1
41	54.96834	1
14	78.78957	1
5	93.58648	1
10000	2.33963	1
3333	15.44361	1
1111	56.61964	1
370	62.56338	1
123	78.82657	1
41	90.93608	1
14	86.32448	1
5	98.66989	1
10000	2.19161	1
3333	13.81544	1
1111	68.43774	1
370	42.40554	1
123	71.78659	1
41	89.56694	1
14	78.25764	1
5	51.75826	1
10000	4.32331	2
3333	22.16511	2
1111	79.72816	2
370	71.86797	2
123	78.97027	2
41	61.06559	2
14	69.93850	2
5	62.61115	2
10000	3.10209	2
3333	30.37942	2
1111	38.94123	2
370	82.95167	2
123	66.61240	2
41	63.45178	2
14	80.23783	2
5	58.98388	2
10000	3.06899	2
3333	32.18644	2
1111	54.88004	2
370	65.65263	2
123	101.74662	2
41	93.66469	2
14	97.19929	2
5	44.14054	2
10000	2.49975	2
3333	24.65389	2
1111	99.17840	2
370	79.90688	2
123	49.75023	2
41	74.03573	2
14	74.39647	2
5	64.26593	2
10000	2.54939	2
3333	14.69214	2
1111	51.96101	2
370	59.78480	2
123	65.21577	2
41	47.43024	2
14	80.40331	2
5	62.35963	2
10000	1.90403	2
3333	8.68530	2
1111	59.13612	2
370	94.27034	2
123	82.59423	2
41	80.05250	2
14	104.03683	2
5	74.42626	2
10000	0.67287	2
3333	7.95389	2
1111	69.80943	2
370	73.60880	2
123	60.28454	2
41	57.81230	2
14	74.16149	2
5	44.64028	2
10000	1.76172	2
3333	2.26477	2
1111	47.23497	2
370	63.25652	2
123	60.56585	2
41	51.51422	2
14	95.24665	2
5	50.24005	2
