dose	response	experiment
500000	29.60282	1
166667	33.69774	1
55556	67.59605	1
18519	44.10226	1
6173	59.31582	1
2058	55.05819	1
686	37.63898	1
229	-1.69209	1
500000	29.28644	1
166667	31.97119	1
55556	49.69774	1
18519	58.99944	1
6173	56.16102	1
2058	66.96328	1
686	53.01525	1
229	59.55085	1
500000	28.58136	1
166667	45.68418	1
55556	75.47853	1
18519	46.94068	1
6173	40.64011	1
2058	36.69887	1
686	38.90452	1
229	57.74294	1
500000	37.40395	1
166667	70.75085	1
55556	57.66158	1
18519	45.36780	1
6173	50.49322	1
2058	61.52147	1
686	49.86045	1
229	61.28644	1
500000	21.80169	1
166667	44.26497	1
55556	73.50791	1
18519	46.86836	1
6173	49.22768	1
2058	62.94068	1
686	66.96328	1
229	52.30113	1
500000	33.14633	1
166667	35.74972	1
55556	41.97797	1
18519	59.86723	1
6173	50.72825	1
2058	50.33051	1
686	45.20508	1
229	46.23559	1
500000	26.05932	1
166667	66.56554	1
55556	81.30904	1
18519	64.99266	1
6173	46.15424	1
2058	50.88192	1
686	56.87514	1
229	34.24915	1
500000	32.44124	1
166667	54.58814	1
55556	51.98475	1
18519	54.11808	1
6173	75.24350	1
2058	29.91921	1
686	58.99944	1
229	31.80847	1
500000	39.88398	1
166667	51.86530	1
55556	47.38135	1
18519	75.75561	1
6173	56.41354	1
2058	58.87248	1
686	67.91271	1
229	46.53759	1
500000	31.96073	1
166667	52.98227	1
55556	56.48586	1
18519	41.07328	1
6173	36.79825	1
2058	53.61710	1
686	33.29466	1
229	45.13937	1
500000	25.66069	1
166667	50.11351	1
55556	49.62332	1
18519	80.93868	1
6173	39.67505	1
2058	39.45809	1
686	41.77239	1
229	52.77334	1
500000	35.60896	1
166667	41.49114	1
55556	67.91271	1
18519	47.66260	1
6173	42.54382	1
2058	68.46718	1
686	52.35548	1
229	57.89212	1
500000	34.13842	1
166667	42.05364	1
55556	36.44468	1
18519	58.44659	1
6173	62.79393	1
2058	53.61710	1
686	51.43941	1
229	50.60369	1
500000	39.67505	1
166667	45.34830	1
55556	53.54477	1
18519	41.14560	1
6173	47.10010	1
2058	52.77334	1
686	58.10105	1
229	69.72879	1
500000	46.74652	1
166667	62.30375	1
55556	38.41344	1
18519	55.08764	1
6173	55.85907	1
2058	66.57878	1
686	68.67611	1
229	44.22329	1
500000	37.56969	1
166667	52.14655	1
55556	51.72066	1
18519	59.85285	1
6173	52.70102	1
2058	66.01627	1
686	51.09387	1
229	64.19216	1
500000	37.21611	1
166667	65.24484	1
55556	41.20988	1
18519	65.80734	1
6173	76.03686	1
2058	60.19838	1
686	0.70966	1
229	66.29752	1
500000	58.87248	1
166667	40.65542	1
55556	65.03591	1
18519	75.26543	1
6173	58.02873	1
2058	62.02250	1
686	74.00382	1
229	65.73502	1
500000	34.97413	1
166667	52.28316	1
55556	83.39762	1
18519	67.84039	1
6173	68.82075	1
2058	65.73502	1
686	63.07518	1
229	67.41449	1
500000	32.94109	1
166667	68.61182	1
55556	64.05555	1
18519	63.35644	1
6173	85.00477	1
2058	65.38948	1
686	55.22425	1
229	52.21084	1
500000	27.13123	1
166667	69.59219	1
55556	68.46718	1
18519	53.40817	1
6173	72.32434	1
2058	73.86721	1
686	77.22616	1
229	65.80734	1
500000	19.91512	1
166667	62.09482	1
55556	72.60559	1
18519	83.32530	1
6173	54.38853	1
2058	64.75466	1
686	61.88589	1
229	74.42168	1
500000	37.98754	1
166667	49.68761	1
55556	58.80016	1
18519	57.81980	1
6173	61.53232	1
2058	81.21993	1
686	58.02873	1
229	66.08859	1
500000	30.98036	1
166667	47.87153	1
55556	72.25202	1
18519	69.16629	1
6173	55.85907	1
2058	54.38853	1
686	60.62428	1
229	47.23670	1
