dose	response	experiment
10000	101.57047	1
3333	93.13654	1
1111	78.26097	1
370	77.41006	1
123	77.31096	1
41	74.18070	1
14	49.89385	1
5	65.02913	1
10000	87.23142	1
3333	87.68251	1
1111	58.64559	1
370	76.36436	1
123	126.46218	1
41	71.75782	1
14	71.97995	1
5	58.38929	1
10000	72.63607	1
3333	67.72539	1
1111	61.63574	1
370	49.04294	1
123	64.38326	1
41	70.11068	1
14	58.31411	1
5	63.95268	1
10000	73.85947	1
3333	70.90350	1
1111	59.31197	1
370	53.43419	1
123	69.57416	1
41	60.85318	1
14	78.53777	1
5	54.31585	1
10000	80.98457	1
3333	69.28369	1
1111	74.93593	1
370	63.59386	1
123	83.02812	1
41	77.87482	1
14	71.00260	1
5	60.24831	1
10000	64.61564	1
3333	79.20073	1
1111	57.18298	1
370	88.13359	1
123	63.09835	1
41	56.19879	1
14	79.00253	1
5	59.35297	1
10000	70.04233	1
3333	67.79374	1
1111	47.08482	1
370	72.57456	1
123	80.75561	1
41	85.61161	1
14	67.73223	1
5	66.80955	1
10000	69.55024	1
3333	69.52290	1
1111	81.32630	1
370	62.23719	1
123	93.62521	1
41	88.38306	1
14	84.41897	1
5	41.98619	1
10000	72.00230	2
3333	64.26791	2
1111	69.87140	2
370	91.98093	2
123	91.46981	2
41	78.86103	2
14	88.20769	2
5	133.08067	2
10000	80.25532	2
3333	59.47244	2
1111	64.74896	2
370	64.11383	2
123	74.12193	2
41	71.15295	2
14	84.71631	2
5	134.51255	2
10000	71.90835	2
3333	74.54661	2
1111	61.27638	2
370	58.14955	2
123	66.47022	2
41	63.18555	2
14	67.87203	2
5	95.83685	2
10000	66.16957	2
3333	73.95657	2
1111	47.72805	2
370	51.47122	2
123	74.79089	2
41	61.62589	2
14	56.18401	2
5	74.24219	2
10000	50.49409	2
3333	58.63812	2
1111	45.74747	2
370	40.46719	2
123	56.79284	2
41	106.52894	2
14	70.47647	2
5	79.90957	2
10000	82.08557	2
3333	61.59583	2
1111	50.55046	2
370	52.36567	2
123	64.40321	2
41	79.38718	2
14	59.16427	2
5	67.65406	2
10000	59.75055	2
3333	64.82037	2
1111	76.81656	2
370	71.78433	2
123	60.80285	2
41	50.64441	2
14	64.44831	2
5	61.18243	2
10000	45.25139	2
3333	85.28756	2
1111	92.83780	2
370	42.56427	2
123	40.64007	2
41	112.21887	2
14	54.59805	2
5	60.95693	2
10000	80.00352	3
3333	81.43916	3
1111	72.46456	3
370	74.98632	3
123	71.94217	3
41	92.43567	3
14	116.62349	3
5	63.13293	3
10000	108.84024	3
3333	60.40448	3
1111	68.32302	3
370	70.10065	3
123	74.75707	3
41	81.87511	3
14	89.55313	3
5	90.09055	3
10000	69.95032	3
3333	69.76993	3
1111	70.59297	3
370	70.59673	3
123	78.06805	3
41	102.43626	3
14	86.12188	3
5	62.74584	3
10000	63.47869	3
3333	66.25225	3
1111	85.70848	3
370	56.16146	3
123	120.79510	3
41	92.85659	3
14	90.10934	3
5	58.20968	3
10000	55.67290	3
3333	71.05148	3
1111	87.64772	3
370	57.08222	3
123	78.83848	3
41	60.06248	3
14	71.63776	3
5	70.94249	3
10000	79.48489	3
3333	73.18990	3
1111	84.32170	3
370	90.31980	3
123	69.29264	3
41	73.75738	3
14	60.52850	3
5	79.39094	3
10000	74.50527	3
3333	58.20217	3
1111	58.79972	3
370	94.13814	3
123	74.83975	3
41	60.90808	3
14	48.99832	3
5	58.30364	3
10000	49.28019	3
3333	70.77337	3
1111	88.48204	3
370	66.95127	3
123	72.99071	3
41	91.07896	3
14	81.68720	3
5	54.10948	3
