dose	response	experiment
5000000	28.36697	1
1000000	54.93402	1
333333	55.35125	1
111111	81.50107	1
37037	48.67553	1
12346	65.08345	1
4115	62.96817	1
1372	72.86532	1
5000000	48.67553	1
1000000	64.40423	1
333333	70.41044	1
111111	49.77198	1
37037	84.54784	1
12346	44.27033	1
4115	61.78440	1
1372	76.25170	1
5000000	22.61304	1
1000000	57.04929	1
333333	59.58180	1
111111	46.29827	1
37037	70.58510	1
12346	51.12071	1
4115	62.96817	1
1372	70.33282	1
5000000	30.30759	1
1000000	57.38890	1
333333	71.00233	1
111111	62.55094	1
37037	55.35125	1
12346	60.94023	1
4115	53.07103	1
1372	45.95866	1
5000000	47.31710	1
1000000	34.79041	1
333333	73.45721	1
111111	89.03066	1
37037	58.32040	1
12346	40.54434	1
4115	56.70968	1
1372	82.68484	1
5000000	19.81855	1
1000000	48.84048	1
333333	79.80303	1
111111	74.64099	1
37037	68.29517	1
12346	66.69416	1
4115	63.81234	1
1372	69.06171	1
5000000	15.17077	1
1000000	28.87153	1
333333	44.27033	1
111111	50.36387	1
37037	47.22977	1
12346	50.36387	1
4115	78.11469	1
1372	49.00543	1
5000000	21.00233	1
1000000	31.32641	1
333333	61.35746	1
111111	37.92451	1
37037	74.31108	1
12346	53.49796	1
4115	59.83408	1
1372	70.83738	1
5000000	21.09506	2
1000000	17.95347	2
333333	27.02808	2
111111	29.31375	2
37037	36.10269	2
12346	17.86594	2
4115	21.42575	2
1372	15.06477	2
5000000	56.03180	2
1000000	43.99069	2
333333	51.03250	2
111111	62.64567	2
37037	39.40962	2
12346	55.35097	2
4115	64.42557	2
1372	40.34334	2
5000000	60.35999	2
1000000	66.97385	2
333333	56.96553	2
111111	69.00664	2
37037	58.15213	2
12346	69.25953	2
4115	57.13087	2
1372	61.88702	2
5000000	56.37222	2
1000000	55.09808	2
333333	52.89022	2
111111	61.96483	2
37037	63.91981	2
12346	38.81631	2
4115	48.57176	2
1372	63.15143	2
5000000	81.81614	2
1000000	70.28079	2
333333	51.95650	2
111111	53.82394	2
37037	69.85283	2
12346	48.82464	2
4115	67.56716	2
1372	47.97846	2
5000000	56.19715	2
1000000	57.05306	2
333333	59.93204	2
111111	64.26023	2
37037	56.45976	2
12346	64.08515	2
4115	52.81241	2
1372	58.40501	2
5000000	42.88189	2
1000000	22.62208	2
333333	48.23134	2
111111	72.40111	2
37037	52.21911	2
12346	58.91078	2
4115	59.59162	2
1372	59.67915	2
5000000	56.80018	2
1000000	72.22604	2
333333	65.86506	2
111111	43.81561	2
37037	56.80018	2
12346	61.54660	2
4115	51.95650	2
1372	56.03180	2
5000000	40.68376	3
1000000	19.64584	3
333333	43.56273	3
111111	18.88719	3
37037	40.00292	3
12346	17.61305	3
4115	16.76687	3
1372	18.38143	3
5000000	61.88702	3
1000000	50.26413	3
333333	53.91148	3
111111	44.33111	3
37037	46.11101	3
12346	49.33041	3
4115	38.81631	3
1372	55.69139	3
5000000	67.56716	3
1000000	62.30525	3
333333	58.91078	3
111111	77.66302	3
37037	60.95330	3
12346	64.51311	3
4115	58.74543	3
1372	68.16046	3
5000000	66.88632	3
1000000	63.57939	3
333333	62.64567	3
111111	56.87799	3
37037	68.66622	3
12346	60.61288	3
4115	73.42237	3
1372	68.24800	3
5000000	59.76669	3
1000000	40.00292	3
333333	71.80781	3
111111	70.02790	3
37037	50.43920	3
12346	67.65469	3
4115	61.79948	3
1372	61.37153	3
5000000	89.11084	3
1000000	79.35539	3
333333	75.70804	3
111111	75.45516	3
37037	73.75306	3
12346	38.90385	3
4115	63.23897	3
1372	60.18492	3
5000000	90.12237	3
1000000	78.84963	3
333333	69.77502	3
111111	85.12307	3
37037	61.63413	3
12346	66.20548	3
4115	74.09348	3
1372	79.78335	3
5000000	76.80711	3
1000000	76.46669	3
333333	65.35929	3
111111	65.61218	3
37037	57.39348	3
12346	53.65860	3
4115	63.66692	3
1372	57.21841	3
