dose	response	experiment
25000.00000	82.79681	1
8333.33333	119.65723	1
2777.77778	69.30428	1
925.92593	95.41623	1
308.64198	115.69027	1
102.88066	84.38034	1
34.29355	67.05101	1
11.43118	80.65471	1
25000	106.13216	1
8333	100.10174	1
2778	71.40571	1
926	131.18391	1
309	89.06042	1
103	60.97720	1
34	69.65135	1
11	105.68476	1
25000	119.02816	1
8333	77.71542	1
2778	67.40893	1
926	48.36320	1
309	97.59358	1
103	60.71147	1
34	96.40594	1
11	76.33254	1
25000	83.99801	1
8333	92.14885	1
2778	108.80572	1
926	58.06774	1
309	87.44978	1
103	77.96488	1
34	87.82126	1
11	81.24040	1
25000	121.78849	1
8333	120.59270	1
2778	110.98850	1
926	109.52427	1
309	80.84451	1
103	96.40051	1
34	70.00656	1
11	74.42092	1
25000	60.56505	1
8333	113.60240	1
2778	74.26908	1
926	54.83289	1
309	68.80265	1
103	59.41536	1
34	85.63306	1
11	57.19734	1
25000.00000	87.45453	2
8333.33333	65.03176	2
2777.77778	67.28207	2
925.92593	94.54723	2
308.64198	91.38167	2
102.88066	83.38287	2
34.29355	65.92638	2
11.43118	108.06512	2
25000	83.09155	2
8333	103.35806	2
2778	92.11801	2
926	85.53684	2
309	65.36896	2
103	100.24067	2
34	49.80034	2
11	79.21258	2
25000	91.98496	2
8333	79.57731	2
2778	71.52117	2
926	80.48569	2
309	69.47044	2
103	88.44549	2
34	58.65704	2
11	66.25899	2
25000	96.61173	2
8333	86.64479	2
2778	73.73478	2
926	89.27129	2
309	62.51078	2
103	92.23729	2
34	59.40944	2
11	66.21541	2
25000	66.14888	2
8333	64.36195	2
2778	58.61805	2
926	71.72533	2
309	65.52036	2
103	62.84568	2
34	104.19992	2
11	75.17763	2
25000	66.65813	2
8333	87.50499	2
2778	80.61644	2
926	102.85111	2
309	74.18438	2
103	55.16804	2
34	98.74276	2
11	83.58703	2
25000	109.09737	3
8333	99.48598	3
2778	98.46061	3
926	96.01303	3
309	112.58867	3
103	88.17940	3
34	77.87066	3
11	69.69065	3
25000	94.79727	3
8333	100.96554	3
2778	93.35671	3
926	97.43524	3
309	104.41096	3
103	73.78983	3
34	53.31687	3
11	67.29354	3
25000	103.90171	3
8333	80.82978	3
2778	84.82803	3
926	64.66474	3
309	80.98117	3
103	75.73505	3
34	89.44562	3
11	63.27235	3
