dose	response	experiment
25000	87.46026	1
10000	99.03417	1
3333	85.50445	1
1111	86.84052	1
370	88.16049	1
123	77.31498	1
41	78.08363	1
14	80.67528	1
25000	76.11976	1
10000	55.40666	1
3333	90.47849	1
1111	68.65467	1
370	57.16528	1
123	77.10974	1
41	110.18954	1
14	74.74345	1
25000	78.71142	1
10000	70.13159	1
3333	46.15075	1
1111	57.39869	1
370	64.40903	1
123	73.74542	1
41	90.17667	1
14	80.62296	1
25000	68.88004	1
10000	78.47801	1
3333	54.92776	1
1111	60.30826	1
370	56.38054	1
123	70.24830	1
41	70.55012	1
14	59.61206	1
25000	72.67898	1
10000	80.00724	1
3333	41.30549	1
1111	54.20339	1
370	40.74611	1
123	83.57278	1
41	79.23055	1
14	77.89448	1
25000	62.91601	1
10000	49.72836	1
3333	79.55250	1
1111	67.15361	1
370	47.22524	1
123	89.49253	1
41	81.60087	1
14	67.96249	1
25000	64.71085	1
10000	58.48123	1
3333	72.77154	1
1111	37.75605	1
370	74.63077	1
123	94.10037	1
41	90.19679	1
14	85.56884	1
25000	46.60147	1
10000	83.44803	1
3333	45.04004	1
1111	37.85263	1
370	44.91529	1
123	51.20126	1
41	84.90483	1
14	75.45978	1
25000	44.99568	2
10000	118.68555	2
3333	104.23669	2
1111	97.15256	2
370	85.72204	2
123	121.05781	2
41	58.81477	2
14	90.89726	2
25000	66.22194	2
10000	56.94177	2
3333	84.21776	2
1111	73.42679	2
370	76.61155	2
123	77.36858	2
41	71.53421	2
14	62.58035	2
25000	39.30488	2
10000	49.68797	2
3333	46.13122	2
1111	71.58969	2
370	69.07712	2
123	60.75303	2
41	70.27793	2
14	71.69737	2
25000	46.25848	2
10000	49.23767	2
3333	47.14278	2
1111	52.27232	2
370	48.12496	2
123	69.73953	2
41	58.82456	2
14	81.02648	2
25000	31.08522	2
10000	37.98661	2
3333	36.83800	2
1111	35.99287	2
370	52.90862	2
123	54.85667	2
41	70.46719	2
14	56.86019	2
25000	45.79839	2
10000	70.01362	2
3333	49.06799	2
1111	56.46210	2
370	54.48468	2
123	108.68425	2
41	73.03522	2
14	62.10395	2
25000	44.87821	2
10000	55.47665	2
3333	48.67642	2
1111	66.13383	2
370	42.02628	2
123	74.98328	2
41	77.39468	2
14	71.95189	2
25000	66.16973	2
10000	44.68242	2
3333	55.60065	2
1111	64.05200	2
370	63.30802	2
123	73.70089	2
41	50.85941	2
14	78.08972	2
25000	61.60143	3
10000	114.90692	3
3333	71.50811	3
1111	77.67857	3
370	44.09507	3
123	68.18304	3
41	47.41361	3
14	55.36897	3
25000	62.50857	3
10000	68.05905	3
3333	49.56724	3
1111	56.75251	3
370	67.87958	3
123	92.20249	3
41	58.25352	3
14	66.42751	3
25000	71.47874	3
10000	106.74925	3
3333	44.27128	3
1111	48.76452	3
370	58.08384	3
123	73.12659	3
41	66.35246	3
14	40.16960	3
25000	50.53963	3
10000	65.22018	3
3333	57.78364	3
1111	59.53917	3
370	48.87220	3
123	65.22670	3
41	73.89341	3
14	66.52214	3
25000	92.99215	3
10000	52.36369	3
3333	67.86652	3
1111	42.90405	3
370	38.40428	3
123	91.98713	3
41	61.27513	3
14	68.03620	3
25000	60.02537	3
10000	44.65632	3
3333	47.23414	3
1111	43.03784	3
370	71.57990	3
123	57.50302	3
41	62.06479	3
14	68.02315	3
25000	61.10545	3
10000	43.43593	3
3333	46.72837	3
1111	45.54714	3
370	55.88454	3
123	61.15113	3
41	68.17652	3
14	60.08737	3
25000	54.74573	3
10000	55.52234	3
3333	44.51927	3
1111	80.38366	3
370	59.46086	3
123	64.11726	3
41	59.59791	3
14	60.73672	3
