dose	response	experiment	background	control
0.00001	90.18	1	0	1
0.001	99.01	1	0	1
0.005	89.08	1	0	1
0.01	90.06	1	0	1
0.05	84.09	1	0	1
0.1	76.86	1	0	1
1	102.24	1	0	1
5	92.22	1	0	1
10	123.02	1	0	1
50	83.18	1	0	1
100	88.3	1	0	1
0.00001	98.78	1	0	1
0.001	99.9	1	0	1
0.005	91.53	1	0	1
0.01	87.64	1	0	1
0.05	87.97	1	0	1
0.1	91.62	1	0	1
1	95.91	1	0	1
5	83.76	1	0	1
10	86.19	1	0	1
50	94.49	1	0	1
100	86.76	1	0	1
0.00001	98.98	1	0	1
0.001	102.78	1	0	1
0.005	90.53	1	0	1
0.01	97.32	1	0	1
0.05	89.94	1	0	1
0.1	91.63	1	0	1
1	94.78	1	0	1
5	90.58	1	0	1
10	81.11	1	0	1
50	93.5	1	0	1
100	101.04	1	0	1
0.00001	88.39	1	0	1
0.001	92.1	1	0	1
0.005	85.56	1	0	1
0.01	97.61	1	0	1
0.05	79.63	1	0	1
0.1	94.36	1	0	1
1	98	1	0	1
5	99.73	1	0	1
10	79.41	1	0	1
50	87.76	1	0	1
100	98.22	1	0	1
0.00001	112.26	1	0	1
0.001	89.44	1	0	1
0.005	97.94	1	0	1
0.01	89.58	1	0	1
0.05	90.68	1	0	1
0.1	100.86	1	0	1
1	112.55	1	0	1
5	87.7	1	0	1
10	98.04	1	0	1
50	100.43	1	0	1
100	87.63	1	0	1

