dose	response	experiment 	background 	control
0.00001	96.32	1	0	1
0.0001	123.51	1	0	1
0.001	92.63	1	0	1
0.01	97.36	1	0	1
0.1	90.55	1	0	1
1	97.24	1	0	1
5	113.65	1	0	1
10	83.38	1	0	1
50	92.16	1	0	1
100	74.85	1	0	1
500	66.16	1	0	1
0.00001	100.24	1	0	1
0.0001	143.23	1	0	1
0.001	93.19	1	0	1
0.01	91.49	1	0	1
0.1	88.03	1	0	1
1	84.15	1	0	1
5	109.51	1	0	1
10	78.17	1	0	1
50	97.02	1	0	1
100	71.77	1	0	1
500	60.19	1	0	1
0.00001	118	1	0	1
0.0001	120.59	1	0	1
0.001	83.42	1	0	1
0.01	97.92	1	0	1
0.1	87.71	1	0	1
1	77.75	1	0	1
5	94.38	1	0	1
10	73.65	1	0	1
50	76.41	1	0	1
100	85.51	1	0	1
500	74.02	1	0	1
0.00001	109.07	1	0	1
0.0001	122.05	1	0	1
0.001	102.25	1	0	1
0.01	110.53	1	0	1
0.1	86.66	1	0	1
1	78.2	1	0	1
5	94.57	1	0	1
10	135.95	1	0	1
50	85.01	1	0	1
100	107.18	1	0	1
500	60.54	1	0	1
0.00001	86.38	1	0	1
0.0001	129.03	1	0	1
0.001	80.4	1	0	1
0.01	100.39	1	0	1
0.1	86.12	1	0	1
1	90.11	1	0	1
5	104.6	1	0	1
10	98.2	1	0	1
50	101.66	1	0	1
100	99.01	1	0	1
500	69.14	1	0	1

