dose	response	experiment	background	control
1000	1.07378839	1	0	1
300	3.40168525	1	0	1
100	4.264393078	1	0	1
30	4.897988335	1	0	1
10	15.91236303	1	0	1
3	30.54162495	1	0	1
1	56.69157205	1	0	1
0.3	65.35825003	1	0	1
0.1	78.77406389	1	0	1
0.03	70.39872659	1	0	1
1000	0.151681007	1	0	1
300	3.712825778	1	0	1
100	1.271786908	1	0	1
30	3.526141461	1	0	1
10	10.53246044	1	0	1
3	36.31469602	1	0	1
1	59.02795456	1	0	1
0.3	64.11934502	1	0	1
0.1	67.53057663	1	0	1
0.03	63.67243408	1	0	1
1000	1.537670632	1	0	1
300	5.924752078	1	0	1
100	4.103165713	1	0	1
30	2.652119433	1	0	1
10	9.443468595	1	0	1
3	29.14997822	1	0	1
1	66.93658107	1	0	1
0.3	58.00684792	1	0	1
0.1	66.41895638	1	0	1
0.03	65.95790269	1	0	1
1000	1.053988539	1	0	1
300	1.763954653	1	0	1
100	1.107730994	1	0	1
30	3.51199871	1	0	1
10	11.40082537	1	0	1
3	32.36038276	1	0	1
1	56.93765592	1	0	1
0.3	62.10258869	1	0	1
0.1	82.49643603	1	0	1
0.03	70.50904005	1	0	1
1000	0.341193874	1	0	1
300	2.233493995	1	0	1
100	5.435412883	1	0	1
30	2.035495477	1	0	1
10	8.891901295	1	0	1
3	36.37975267	1	0	1
1	62.7276983	1	0	1
0.3	72.42962567	1	0	1
0.1	75.91439958	1	0	1
0.03	75.35717518	1	0	1
1000	2.154684952	2	0	1
300	0.51188648	2	0	1
100	3.958191969	2	0	1
30	3.815339928	2	0	1
10	11.73767604	2	0	1
3	41.96873921	2	0	1
1	55.18850517	2	0	1
0.3	63.52749307	2	0	1
0.1	59.5693011	2	0	1
0.03	56.30751283	2	0	1
1000	2.267776151	2	0	1
300	-1.101151149	2	0	1
100	-0.267847577	2	0	1
30	3.303453448	2	0	1
10	12.14242348	2	0	1
3	36.46893563	2	0	1
1	39.01051153	2	0	1
0.3	58.37886742	2	0	1
0.1	69.05705749	2	0	1
0.03	61.84898158	2	0	1
1000	0.517838649	2	0	1
300	-1.797554849	2	0	1
100	2.678475769	2	0	1
30	5.184338655	2	0	1
10	12.20789734	2	0	1
3	38.95694201	2	0	1
1	53.94450198	2	0	1
0.3	77.36033237	2	0	1
0.1	62.91441972	2	0	1
0.03	81.57446758	2	0	1
1000	0.416651786	2	0	1
300	-0.452364796	2	0	1
100	0.053569515	2	0	1
30	4.648643501	2	0	1
10	9.160387129	2	0	1
3	45.87931383	2	0	1
1	53.61713272	2	0	1
0.3	65.01553516	2	0	1
0.1	68.25351476	2	0	1
0.03	65.87859957	2	0	1
1000	-0.041665179	2	0	1
300	1.547563777	2	0	1
100	1.351142221	2	0	1
30	0.607121174	2	0	1
10	14.17806507	2	0	1
3	44.98053641	2	0	1
1	60.12880492	2	0	1
0.3	55.82538719	2	0	1
0.1	67.26545481	2	0	1
0.03	60.61688273	2	0	1
1000	8.558136255	3	0	1
300	1.254710218	3	0	1
100	2.77906101	3	0	1
30	0.729339741	3	0	1
10	16.34811229	3	0	1
3	26.9021064	3	0	1
1	64.56832275	3	0	1
0.3	65.81316609	3	0	1
0.1	58.16811985	3	0	1
0.03	69.29665704	3	0	1
1000	0.706047454	3	0	1
300	-0.492211318	3	0	1
100	0.892385751	3	0	1
30	2.075116332	3	0	1
10	10.35940646	3	0	1
3	27.72768858	3	0	1
1	57.18984379	3	0	1
0.3	63.21219403	3	0	1
0.1	71.3541424	3	0	1
0.03	58.92123713	3	0	1
1000	-0.132474883	3	0	1
300	1.001083091	3	0	1
100	2.786825106	3	0	1
30	1.239182027	3	0	1
10	13.82995725	3	0	1
3	27.68628007	3	0	1
1	60.04444298	3	0	1
0.3	62.02946345	3	0	1
0.1	55.10130204	3	0	1
0.03	57.12514299	3	0	1
1000	4.567391057	3	0	1
300	14.3941482	3	0	1
100	0.682755167	3	0	1
30	-1.387670357	3	0	1
10	6.984612856	3	0	1
3	34.5031561	3	0	1
1	63.26913073	3	0	1
0.3	64.97464376	3	0	1
0.1	60.6060459	3	0	1
0.03	65.73811317	3	0	1
1000	7.504807269	3	0	1
300	2.848937872	3	0	1
100	3.066332552	3	0	1
30	0.323018732	3	0	1
10	11.18498864	3	0	1
3	33.09009068	3	0	1
1	56.16757118	3	0	1
0.3	83.6757623	3	0	1
0.1	57.95848926	3	0	1
0.03	88.13494128	3	0	1
