dose 	response	experiment 	background	control
400	36.13	1	0	1
200	68.34	1	0	1
100	93.11	1	0	1
50	90.34	1	0	1
25	102.73	1	0	1
0.5	100	1	0	1
400	80.56	2	0	1
200	86.56	2	0	1
100	95.02	2	0	1
50	102.89	2	0	1
25	104.56	2	0	1
0.5	103.24	2	0	1
150	93.38	2	0	1
100	93.36	2	0	1
66.66667	101.45	2	0	1
44.44444	102.43	2	0	1
29.62963	103.71	2	0	1
0.5	96.06	2	0	1
225	108.63	3	0	1
150	96.35	3	0	1
100	101.25	3	0	1
66.66667	97.86	3	0	1
44.44444	109.34	3	0	1
29.62963	106.56	3	0	1
600	59.65	4	0	1
400	77.43	4	0	1
266.67	92.56	4	0	1
177.78	108.96	4	0	1
118.52	97.22	4	0	1
400	84.24	5	0	1
266.67	94.74	5	0	1
177.78	107.77	5	0	1
118.52	102.59	5	0	1
0.5	96.21	5	0	1
