dose 	response	experiment 	background	control
200	48.28	1	0	1
100	73.18	1	0	1
50	100.72	1	0	1
25	115.25	1	0	1
12.5	110.82	1	0	1
0.5	111.19	1	0	1
100	93.29	2	0	1
66.66667	91.23	2	0	1
44.44444	95.17	2	0	1
29.62963	106.99	2	0	1
19.75309	108.92	2	0	1
0.5	102.26	2	0	1
600	3.88	3	0	1
400	16.75	3	0	1
266.6667	44.75	3	0	1
177.7778	73.63	3	0	1
118.5185	94.08	3	0	1
0.5	98.01	4	0	1
600	8.48	4	0	1
400	8.32	4	0	1
266.6667	31.62	4	0	1
177.7778	62.94	4	0	1
118.5185	100.12	4	0	1
0.5	101.82	5	0	1
168	63.9	5	0	1
120	84.89	5	0	1
85.71	89.16	5	0	1
61.22	92.42	5	0	1
43.73	104.34	5	0	1
0.5	100	5	0	1
