dose	response	experiment	background	control
0.0001	90.17	1	0	1
0.001	104.68	1	0	1
0.005	117.22	1	0	1
0.01	107.46	1	0	1
0.05	87.69	1	0	1
0.1	109.31	1	0	1
1	107.16	1	0	1
5	115.65	1	0	1
10	104.95	1	0	1
50	79.04	1	0	1
100	48.8	1	0	1
0.0001	91.3	1	0	1
0.001	95.53	1	0	1
0.005	121.32	1	0	1
0.01	106.41	1	0	1
0.05	101.64	1	0	1
0.1	96.93	1	0	1
1	120	1	0	1
5	123.96	1	0	1
10	107.36	1	0	1
50	74.06	1	0	1
100	47.24	1	0	1
0.0001	97.51	1	0	1
0.001	115.13	1	0	1
0.005	105.36	1	0	1
0.01	100.6	1	0	1
0.05	108.14	1	0	1
0.1	75.99	1	0	1
1	109.62	1	0	1
5	123.55	1	0	1
10	107.39	1	0	1
50	58.36	1	0	1
100	40.21	1	0	1
0.0001	107.11	1	0	1
0.001	107.97	1	0	1
0.005	112.12	1	0	1
0.01	113.92	1	0	1
0.05	119.77	1	0	1
0.1	118.39	1	0	1
1	102.72	1	0	1
5	120.55	1	0	1
10	100.94	1	0	1
50	75.07	1	0	1
100	49.51	1	0	1
0.0001	114.52	1	0	1
0.001	105.62	1	0	1
0.005	102.09	1	0	1
0.01	84.14	1	0	1
0.05	108.82	1	0	1
0.1	83.87	1	0	1
1	118.87	1	0	1
5	110.69	1	0	1
10	93.58	1	0	1
50	63.93	1	0	1
100	41.61	1	0	1
1000	0	1	0	1
