dose	response	experiment	background	control
0.0032	102.2576361	1	0	1
0.0048	77.68924303	1	0	1
0.0072	77.68924303	1	0	1
0.0108	63.0810093	1	0	1
0.0162	55.11288181	1	0	1
0.0243	49.4687915	1	0	1
0.03645	32.8685259	1	0	1
0.054675	8.964143426	1	0	1
0.00128	147.8821363	2	0	1
0.0064	93.92265193	2	0	1
0.032	64.08839779	2	0	1
0.16	-1.289134438	2	0	1
0.8	-4.972375691	2	0	1
4	-18.78453039	2	0	1
20	-20.62615101	2	0	1
100	-16.39042357	2	0	1
0.00128	134.7465793	3	0	1
0.0064	120.2543843	3	0	1
0.032	58.73964155	3	0	1
0.16	-0.539603006	3	0	1
0.8	13.72133359	3	0	1
4	-2.081325882	3	0	1
20	-3.700134901	3	0	1
100	-3.083445751	3	0	1

