dose	response	experiment
0.000391	130.6522	1
0.000391	101.1435	1
0.000391	105.8488	1
0.000391	49.80991	1
0.000391	106.0531	1
0.000391	106.4925	1
0.000781	17.94097	1
0.000781	110.1351	1
0.000781	98.13442	1
0.000781	116.5671	1
0.000781	112.7712	1
0.000781	99.48826	1
0.001563	14.73262	1
0.001563	112.0867	1
0.001563	128.9561	1
0.001563	111.1824	1
0.001563	94.48161	1
0.001563	149.5958	1
0.003125	112.4136	1
0.003125	90.75215	1
0.003125	60.51293	1
0.003125	115.2593	1
0.003125	60.01737	1
0.00625	5.751276	1
0.00625	66.95518	1
0.00625	9.940525	1
0.00625	110.789	1
0.00625	138.6475	1
0.00625	162.9707	1
0.0125	10.60467	1
0.0125	113.0931	1
0.0125	114.7075	1
0.0125	89.19395	1
0.0125	75.53291	1
0.0125	99.51381	1
0.025	5.781929	1
0.025	71.38965	1
0.025	115.6118	1
0.025	16.30614	1
0.025	119.5609	1
0.025	112.4443	1
0.05	6.057807	1
0.05	90.87987	1
0.05	102.7171	1
0.05	21.66531	1
0.000391	82.20309	2
0.000391	120.7979	2
0.000391	126.5478	2
0.000391	89.52725	2
0.000391	65.08878	2
0.000391	115.8352	2
0.000781	116.6715	2
0.000781	106.6354	2
0.000781	97.8169	2
0.000781	110.1591	2
0.000781	104.8705	2
0.000781	118.5533	2
0.001563	131.3813	2
0.001563	92.10393	2
0.001563	130.9201	2
0.001563	125.9636	2
0.001563	87.37489	2
0.001563	131.6765	2
0.003125	95.38781	2
0.003125	88.80775	2
0.003125	78.16896	2
0.003125	112.6374	2
0.003125	79.0176	2
0.003125	50.45276	2
0.00625	140.7349	2
0.00625	100.8917	2
0.00625	112.3484	2
0.00625	99.45269	2
0.0125	122.2554	2
0.0125	107.8469	2
0.0125	106.4202	2
0.0125	116.1611	2
0.0125	139.6218	2
0.0125	122.4706	2
0.025	88.80775	2
0.025	136.9283	2
0.025	16.70997	2
0.025	119.937	2
0.025	25.11031	2
0.025	107.8346	2
0.05	62.06319	2
0.05	134.0318	2
0.05	11.71035	2
0.05	13.41994	2
0.05	62.64125	2
0.05	48.01138	2
0.000391	138.8513	3
0.000391	27.56544	3
0.000391	44.00339	3
0.000391	127.1731	3
0.000391	125.9353	3
0.000391	136.4715	3
0.000781	121.8968	3
0.000781	78.1032	3
0.000391	100.8694	3
0.000391	89.33854	3
0.000391	118.0442	3
0.000391	104.7966	3
0.000391	131.6012	3
0.000391	121.2713	3
0.000391	14.43174	3
0.000391	124.2964	3
0.000781	100.8694	3
0.000781	89.33854	3
0.000781	118.0442	3
0.000781	104.7966	3
0.000781	131.6012	3
0.000781	121.2713	3
0.000781	14.43174	3
0.000781	124.2964	3
0.001563	158.2439	3
0.001563	107.5153	3
0.001563	79.23705	3
0.001563	146.3593	3
0.001563	167.8443	3
0.001563	126.6868	3
0.001563	15.06968	3
0.001563	11.99594	3
0.003125	142.6679	3
0.003125	122.4429	3
0.003125	29.26007	3
0.003125	98.84323	3
0.003125	96.12444	3
0.003125	110.5362	3
0.003125	97.51708	3
0.003125	125.9565	3
0.00625	157.4628	3
0.00625	136.4199	3
0.00625	88.85962	3
0.00625	111.8845	3
0.00625	66.65991	3
0.00625	41.6088	3
0.00625	93.80539	3
0.00625	147.5742	3
0.0125	98.84323	3
0.0125	105.0692	3
0.0125	69.33449	3
0.0125	168.6916	3
0.0125	92.06469	3
0.0125	60.89816	3
0.0125	11.14051	3
0.0125	11.87995	3
0.025	137.4293	3
0.025	134.2758	3
0.025	15.56301	3
0.025	128.2267	3
0.025	60.54449	3
0.025	137.4219	3
0.025	125.4635	3
0.025	70.92629	3
0.05	11.65798	3
0.05	15.45985	3
0.05	13.40419	3
0.05	10.8475	3
0.05	15.03344	3
0.5	0	3
