dose	response	experiment	background	control
300	0.323552736	1	0	1
100	0.053925456	1	0	1
30	0.14591594	1	0	1
10	0.095162569	1	0	1
3	1.249801745	1	0	1
1	52.32038065	1	0	1
0.3	81.73513085	1	0	1
0.1	76.57731959	1	0	1
0.03	42.13798573	1	0	1
300	-0.199841396	1	0	1
100	0.101506741	1	0	1
30	-0.843774782	1	0	1
10	0.120539255	1	0	1
3	-0.171292625	1	0	1
1	62.7628866	1	0	1
0.3	68.84694687	1	0	1
0.1	81.37351308	1	0	1
0.03	73.11657415	1	0	1
300	-0.24742268	1	0	1
100	-0.199841396	1	0	1
30	-0.038065028	1	0	1
10	-0.453608247	1	0	1
3	-0.098334655	1	0	1
1	43.52101507	1	0	1
0.3	63.34020619	1	0	1
0.1	74.40761301	1	0	1
0.03	70.10626487	1	0	1
300	-0.450436162	1	0	1
100	-0.053925456	1	0	1
30	-1.116574148	1	0	1
10	-0.805709754	1	0	1
3	0.14591594	1	0	1
1	48.28548771	1	0	1
0.3	72.7295797	1	0	1
0.1	62.65503569	1	0	1
0.03	39.9111816	1	0	1
300	-0.41554322	1	0	1
100	-0.34258525	1	0	1
30	-1.341792228	1	0	1
10	-1.370340999	1	0	1
3	-0.177636796	1	0	1
1	26.31879461	1	0	1
0.3	54.98493259	1	0	1
0.1	46.59159397	1	0	1
0.03	53.47184774	1	0	1
300	1.002379064	1	0	1
100	0.710547185	1	0	1
30	-0.034892942	1	0	1
10	-0.996034893	1	0	1
3	0.133227597	1	0	1
1	28.69468676	1	0	1
0.3	38.8295004	1	0	1
0.1	60.90087232	1	0	1
0.03	59.74306106	1	0	1
300	-0.282315623	1	0	1
100	0.973830293	1	0	1
30	-0.970658208	1	0	1
10	-0.831086439	1	0	1
3	-1.00555115	1	0	1
1	25.91276764	1	0	1
0.3	66.83584457	1	0	1
0.1	94.94052339	1	0	1
0.03	55.13402062	1	0	1
300	-0.967486122	1	0	1
100	-1.053132435	1	0	1
30	-1.462331483	1	0	1
10	-1.842981761	1	0	1
3	-1.560666138	1	0	1
1	29.76050753	1	0	1
0.3	60.97700238	1	0	1
0.1	63.08009516	1	0	1
0.03	60.87866772	1	0	1
300	-0.708022085	2	0	1
100	-0.594348815	2	0	1
30	0.159142579	2	0	1
10	0.266320234	2	0	1
3	0.194868464	2	0	1
1	47.11269893	2	0	1
0.3	42.50405976	2	0	1
0.1	92.20201364	2	0	1
0.03	44.92367652	2	0	1
300	-1.15946736	2	0	1
100	-0.402728158	2	0	1
30	-0.88665151	2	0	1
10	-0.581357584	2	0	1
3	-1.597921403	2	0	1
1	35.02435856	2	0	1
0.3	57.50568366	2	0	1
0.1	68.21045794	2	0	1
0.03	46.92757389	2	0	1
300	-0.857421241	2	0	1
100	-0.909386164	2	0	1
30	-0.941864242	2	0	1
10	-0.727508931	2	0	1
3	-1.451770055	2	0	1
1	45.2517051	2	0	1
0.3	76.52484573	2	0	1
0.1	91.39330952	2	0	1
0.03	70.30204612	2	0	1
300	-1.841506983	2	0	1
100	-1.182202014	2	0	1
30	-0.311789542	2	0	1
10	-0.870412472	2	0	1
3	-1.523221825	2	0	1
1	48.34686587	2	0	1
0.3	63.76745697	2	0	1
0.1	96.86911335	2	0	1
0.03	48.38908737	2	0	1
300	-1.763559597	2	0	1
100	-1.367327054	2	0	1
30	-0.938616434	2	0	1
10	-2.094835986	2	0	1
3	1.10100682	2	0	1
1	32.02663202	2	0	1
0.3	68.97369276	2	0	1
0.1	84.2838584	2	0	1
0.03	69.6200065	2	0	1
300	-1.620656057	2	0	1
100	0.841182202	2	0	1
30	-0.938616434	2	0	1
10	-2.078596947	2	0	1
3	-0.945112049	2	0	1
1	35.2939266	2	0	1
0.3	56.96654758	2	0	1
0.1	84.35855797	2	0	1
0.03	97.46346216	2	0	1
300	-2.270217603	2	0	1
100	-0.227346541	2	0	1
30	-1.497239363	2	0	1
10	-1.27314063	2	0	1
3	-0.980837934	2	0	1
1	29.18804807	2	0	1
0.3	68.63267295	2	0	1
0.1	76.13835661	2	0	1
0.03	55.62520299	2	0	1
300	-2.523546606	2	0	1
100	-2.237739526	2	0	1
30	-2.11757064	2	0	1
10	-2.627476453	2	0	1
3	-1.815524521	2	0	1
1	47.43423189	2	0	1
0.3	66.12536538	2	0	1
0.1	49.15232218	2	0	1
0.03	61.15297174	2	0	1
300	-0.764160605	3	0	1
100	-0.848192012	3	0	1
30	-0.61185368	3	0	1
10	-0.315117775	3	0	1
3	-1.207951472	3	0	1
1	56.85249862	3	0	1
0.3	65.65741446	3	0	1
0.1	52.32005462	3	0	1
0.03	67.13321604	3	0	1
300	-0.785168457	3	0	1
100	-0.349255534	3	0	1
30	-1.299860823	3	0	1
10	-0.580341903	3	0	1
3	-2.043013576	3	0	1
1	47.79286258	3	0	1
0.3	56.65292403	3	0	1
0.1	73.44607547	3	0	1
0.03	67.87111683	3	0	1
300	-1.032010714	3	0	1
100	-1.06089651	3	0	1
30	-1.058270529	3	0	1
10	-1.171187731	3	0	1
3	2.035135632	3	0	1
1	28.83327644	3	0	1
0.3	84.78243744	3	0	1
0.1	49.18463276	3	0	1
0.03	65.74407185	3	0	1
300	-1.20532549	3	0	1
100	-1.118668102	3	0	1
30	-1.352380452	3	0	1
10	-1.087156325	3	0	1
3	-1.822431134	3	0	1
1	29.12738636	3	0	1
0.3	48.55439721	3	0	1
0.1	60.47110107	3	0	1
0.03	51.64517739	3	0	1
300	-1.281478953	3	0	1
100	-1.775163467	3	0	1
30	-1.699010005	3	0	1
10	-0.393897219	3	0	1
3	-1.964234133	3	0	1
1	19.96533704	3	0	1
0.3	53.56739581	3	0	1
0.1	65.89375279	3	0	1
0.03	81.96738531	3	0	1
300	1.176439694	3	0	1
100	-0.861321919	3	0	1
30	-1.244715212	3	0	1
10	-0.21533048	3	0	1
3	-0.14442898	3	0	1
1	51.0333237	3	0	1
0.3	42.15225441	3	0	1
0.1	66.61852367	3	0	1
0.03	69.32328458	3	0	1
300	-1.005750899	3	0	1
100	-1.846064967	3	0	1
30	-0.940101363	3	0	1
10	-0.958483233	3	0	1
3	-0.874451826	3	0	1
1	24.89955621	3	0	1
0.3	46.32756493	3	0	1
0.1	53.80898611	3	0	1
0.03	72.32740737	3	0	1
300	-2.402773036	3	0	1
100	-1.945852262	3	0	1
30	-2.208450408	3	0	1
10	-2.528820147	3	0	1
3	-1.063522492	3	0	1
1	11.63309787	3	0	1
0.3	79.71954518	3	0	1
0.1	65.88062288	3	0	1
0.03	60.68643155	3	0	1
