dose	response	experiment	background	control
10	-1.906912679	1	0	1
1	-2.236850535	1	0	1
0.3	2.452751618	1	0	1
0.1	19.52623486	1	0	1
0.03	68.5844705	1	0	1
0.01	74.19341406	1	0	1
0.003	68.84713947	1	0	1
0.001	42.36882568	1	0	1
0.0003	62.25158562	1	0	1
10	-2.682106477	1	0	1
1	-2.960791851	1	0	1
0.3	0.854314818	1	0	1
0.1	17.43449292	1	0	1
0.03	48.32052021	1	0	1
0.01	71.63399321	1	0	1
0.003	67.99186367	1	0	1
0.001	68.69017874	1	0	1
0.0003	53.97110641	1	0	1
10	-2.192004613	1	0	1
1	-2.989621372	1	0	1
0.3	2.077967839	1	0	1
0.1	13.12928439	1	0	1
0.03	57.69972452	1	0	1
0.01	57.55878019	1	0	1
0.003	56.92453072	1	0	1
0.001	98.99641233	1	0	1
0.0003	54.92888718	1	0	1
10	-3.072906656	1	0	1
1	-3.060093536	1	0	1
0.3	0.89275418	1	0	1
0.1	17.12377475	1	0	1
0.03	52.25735153	1	0	1
0.01	54.06400154	1	0	1
0.003	61.35466718	1	0	1
0.001	56.19738612	1	0	1
0.0003	57.40502274	1	0	1
10	-3.088923057	1	0	1
1	-2.300916138	1	0	1
0.3	1.062528029	1	0	1
0.1	14.81420975	1	0	1
0.03	54.45159844	1	0	1
0.01	60.5602537	1	0	1
0.003	84.97885835	1	0	1
0.001	55.50868089	1	0	1
0.0003	58.88493818	1	0	1
10	-2.340696271	2	0	1
1	-2.399425756	2	0	1
0.3	1.734477471	2	0	1
0.1	14.27322262	2	0	1
0.03	62.93386407	2	0	1
0.01	64.70553689	2	0	1
0.003	70.54585794	2	0	1
0.001	61.40037195	2	0	1
0.0003	62.39877321	2	0	1
10	-2.973669614	2	0	1
1	-1.33250677	2	0	1
0.3	0.56641326	2	0	1
0.1	11.47052106	2	0	1
0.03	63.17857026	2	0	1
0.01	55.64488238	2	0	1
0.003	78.1709028	2	0	1
0.001	78.09585957	2	0	1
0.0003	70.23915952	2	0	1
10	-2.823583151	2	0	1
1	-2.859473392	2	0	1
0.3	1.408202551	2	0	1
0.1	10.4916963	2	0	1
0.03	57.63842213	2	0	1
0.01	55.32513296	2	0	1
0.003	80.95402786	2	0	1
0.001	72.95376684	2	0	1
0.0003	100.791543	2	0	1
10	-3.065026591	2	0	1
1	-3.133544324	2	0	1
0.3	0.543574015	2	0	1
0.1	10.15889589	2	0	1
0.03	38.20222519	2	0	1
0.01	75.68142517	2	0	1
0.003	61.72664687	2	0	1
0.001	68.84922836	2	0	1
0.0003	88.99017912	2	0	1
10	-2.745277171	2	0	1
1	-2.366798264	2	0	1
0.3	2.266305589	2	0	1
0.1	5.786811968	2	0	1
0.03	57.89291657	2	0	1
0.01	68.99931482	2	0	1
0.003	56.40836569	2	0	1
0.001	62.96975431	2	0	1
0.0003	72.05977357	2	0	1
10	-2.341726817	3	0	1
1	-2.113064081	3	0	1
0.3	4.295002479	3	0	1
0.1	15.09174059	3	0	1
0.03	60.54328062	3	0	1
0.01	68.73381454	3	0	1
0.003	57.12435947	3	0	1
0.001	58.30624277	3	0	1
0.0003	65.04215108	3	0	1
10	-2.454680699	3	0	1
1	-2.862416662	3	0	1
0.3	2.066229544	3	0	1
0.1	15.78874869	3	0	1
0.03	55.54025015	3	0	1
0.01	62.78858339	3	0	1
0.003	55.19036862	3	0	1
0.001	52.2728525	3	0	1
0.0003	64.8685878	3	0	1
10	-2.113064081	3	0	1
1	-2.035924844	3	0	1
0.3	1.022094881	3	0	1
0.1	16.72819439	3	0	1
0.03	61.85189267	3	0	1
0.01	55.28128272	3	0	1
0.003	58.88203207	3	0	1
0.001	57.95360626	3	0	1
0.0003	58.28420299	3	0	1
10	-2.608959171	3	0	1
1	-2.74946278	3	0	1
0.3	2.84037688	3	0	1
0.1	15.76119896	3	0	1
0.03	64.86032288	3	0	1
0.01	59.292523	3	0	1
0.003	54.91211637	3	0	1
0.001	73.35114882	3	0	1
0.0003	72.2023252	3	0	1
10	-1.804507135	3	0	1
1	-2.16265359	3	0	1
0.3	1.107499036	3	0	1
0.1	8.027990523	3	0	1
0.03	58.71397873	3	0	1
0.01	69.98457215	3	0	1
0.003	52.49325032	3	0	1
0.001	66.60422062	3	0	1
0.0003	68.20485977	3	0	1
